GEFlash Ethanol Fuel = E8.11822126 with 0.11  moles ethanol
P_start 180000 P_end 1000000 stepP 1000
H_start -50000 H_end 50000 stepH 1000
Points 82921 pres 821 Hres 101
CriticalPressure  2.56E6    
# Pressure(Pa) Enthalpy(j/kg) VapMassFract  Density(kg/m^3)  RhoV(kg/m^3)   RhoL(kg/m^3)  Temp(K) Viscosity(microPa.s)    Conductivity(W/m.K)    Liq. Alc. Frac (-)  Gas Alc. Frac (-)  SOS(m/s)   PBUB(Pa)  
 180000.0000000000     -50000.0000000000  0.0000000000  1342.6554527713   3.3941289231  1342.6554527713  240.4160965327 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   68914.8823798679
 180000.0000000000     -49000.0000000000  0.0000000000  1340.9098365009   3.4958131676  1340.9098365009  241.0677745733 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   71123.6998860720
 180000.0000000000     -48000.0000000000  0.0000000000  1339.1609000283   3.6010275228  1339.1609000283  241.7194526140 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   73411.0569954594
 180000.0000000000     -47000.0000000000  0.0000000000  1337.4086190953   3.7083502757  1337.4086190953  242.3711306546 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   75749.0391125938
 180000.0000000000     -46000.0000000000  0.0000000000  1335.6529691563   3.8173124859  1335.6529691563  243.0228086952 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   78128.5083458149
 180000.0000000000     -45000.0000000000  0.0000000000  1333.8939253741   3.9302836103  1333.8939253741  243.6744867358 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   80596.7119143732
 180000.0000000000     -44000.0000000000  0.0000000000  1332.1314626144   4.0451644567  1332.1314626144  244.3261647765 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   83112.1662769087
 180000.0000000000     -43000.0000000000  0.0000000000  1330.3655554416   4.1619427057  1330.3655554416  244.9778428171 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   85674.7770262401
 180000.0000000000     -42000.0000000000  0.0000000000  1328.5961773130   4.2829378604  1328.5961773130  245.6295211520 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   88330.9578587689
 180000.0000000000     -41000.0000000000  0.0000000000  1326.8233037724   4.4057341917  1326.8233037724  246.2811991926 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   91032.7653867720
 180000.0000000000     -40000.0000000000  0.0000000000  1325.0469076500   4.5308326789  1325.0469076500  246.9328772333 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   93790.3469656263
 180000.0000000000     -39000.0000000000  0.0000000000  1323.2669622516   4.6601640572  1323.2669622516  247.5845552739 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   96642.4905284234
 180000.0000000000     -38000.0000000000  0.0000000000  1321.4834405552   4.7914109739  1321.4834405552  248.2362333145 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   99543.0605227663
 180000.0000000000     -37000.0000000000  0.0000000000  1319.6963152051   4.9254470730  1319.6963152051  248.8879113551 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   102509.6986316008
 180000.0000000000     -36000.0000000000  0.0000000000  1317.9055585063   5.0632494923  1317.9055585063  249.5395893957 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   105562.1792896747
 180000.0000000000     -35000.0000000000  0.0000000000  1316.1111424186   5.2031130603  1316.1111424186  250.1912674364 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   108666.4925225386
 180000.0000000000     -34000.0000000000  0.0000000000  1314.3130385506   5.3465252763  1314.3130385506  250.8429454770 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   111852.6503445573
 180000.0000000000     -33000.0000000000  0.0000000000  1312.5112181537   5.4935516435  1312.5112181537  251.4946235176 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   115122.1632586830
 180000.0000000000     -32000.0000000000  0.0000000000  1310.7056512994   5.6426486585  1310.7056512994  252.1463018525 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   118444.1703000904
 180000.0000000000     -31000.0000000000  0.0000000000  1308.8963101364   5.7956688637  1308.8963101364  252.7979798932 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   121856.0834007818
 180000.0000000000     -30000.0000000000  0.0000000000  1307.0831639914   5.9521125420  1307.0831639914  253.4496579338 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   125348.0232762323
 180000.0000000000     -29000.0000000000  0.0000000000  1305.2661826228   6.1107267703  1305.2661826228  254.1013359744 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   128894.9032190474
 180000.0000000000     -28000.0000000000  0.0000000000  1303.4453353986   6.2738952115  1303.4453353986  254.7530140150 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   132544.8936745216
 180000.0000000000     -27000.0000000000  0.0000000000  1301.6205912900   6.4404443630  1301.6205912900  255.4046920557 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   136274.5054409509
 180000.0000000000     -26000.0000000000  0.0000000000  1299.7919188640   6.6093535509  1299.7919188640  256.0563700963 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   140063.2813740605
 180000.0000000000     -25000.0000000000  0.0000000000  1297.9592862761   6.7832168988  1297.9592862761  256.7080481369 241.5594000000  0.0880034900   0.1100000000   0.0000000000      1e-15   143963.6923530975
